operator,repressors,param,mode,hpd_min,hpd_max
O3,124,a,0.7683728565062893,0.739004114773714,0.807758369593371
O3,124,b,0.22501883895105906,0.17466476071998643,0.2628535662280781
O3,124,n,1.2553747049282244,0.4007428124846002,57.26552619848327
O3,260,kd,4.058189559831673,2.3974419122742936,6.128515760189913
O3,260,a,0.617857834682307,0.5729808571400523,0.6601662435621846
O3,260,b,0.37441163498054153,0.3163940101414325,0.4334475621361189
O3,260,n,1.2922794684668388,0.5322218790976782,6.551885704632911
O3,1220,kd,14.073360574003164,10.735013217846516,18.838550998063614
O3,1220,a,0.23916681824260325,0.19001436809762362,0.2804180574118733
O3,1220,b,0.7703909254003709,0.7096448971402319,0.8655145040064008
O3,1220,n,1.115962900138421,0.7977733979613124,1.3850284025108874
O3,1740,kd,22.474218731230863,16.293549863654466,32.546575742852376
O3,1740,a,0.18561667151550304,0.1276050399792634,0.2290268291734006
O3,1740,b,0.8084744253711849,0.7326086233346989,0.9393738738069579
O3,1740,n,1.0315341272829843,0.7006708325541057,1.2942771291359538
