inoculation_time,clock_time,delta_t_min,replicate_number,strain,OD_600,flow_measured,dilution_factor
08h20m,18h34m,604,3,delta,0.06,TRUE,10
08h20m,18h35m,605,1,RBS1027,0.06,TRUE,10
08h20m,18h36m,606,2,RBS1027,0.06,TRUE,10
08h20m,18h37m,607,3,RBS1027,0.06,TRUE,10
08h20m,19h27m,657,1,auto,0.11,TRUE,10
08h20m,19h27m,657,2,auto,0.09,TRUE,10
08h20m,19h27m,657,3,auto,0.09,TRUE,10
08h20m,19h27m,657,1,delta,0.09,TRUE,10
08h20m,19h27m,657,2,delta,0.1,TRUE,10
08h20m,19h27m,657,3,delta,0.1,TRUE,10
08h20m,19h27m,657,1,RBS1027,0.08,TRUE,10
08h20m,19h27m,657,2,RBS1027,0.11,TRUE,10
08h20m,19h27m,657,3,RBS1027,0.11,TRUE,10
08h20m,20h30m,720,1,auto,0.13,TRUE,10
08h20m,20h30m,720,2,auto,0.12,TRUE,10
08h20m,20h30m,720,3,auto,0.12,TRUE,10
08h20m,20h30m,720,1,delta,0.1,TRUE,10
08h20m,20h30m,720,2,delta,0.09,TRUE,10
08h20m,20h30m,720,3,delta,0.1,TRUE,10
08h20m,20h30m,720,1,RBS1027,0.12,TRUE,10
08h20m,20h30m,720,2,RBS1027,0.08,TRUE,10
08h20m,20h30m,720,3,RBS1027,0.12,TRUE,10
