inoculation_time,clock_time,delta_t_min,replicate_number,strain,OD_600,flow_measured,dilution_factor
8h45m,15h52m,427,2,Delta,0.32,TRUE,1
8h45m,15h53m,428,3,Delta,0.32,TRUE,1
8h45m,15h54m,429,1,RBS1027,0.22,TRUE,1
8h45m,15h55m,430,2,RBS1027,0.25,TRUE,1
8h45m,15h56m,431,3,RBS1027,0.27,TRUE,1
8h45m,16h45m,480,1,Auto,0.61,TRUE,1
8h45m,16h46m,481,2,Auto,0.54,TRUE,1
8h45m,16h47m,482,3,Auto,0.56,TRUE,1
8h45m,16h48m,483,1,Delta,0.48,TRUE,1
8h45m,16h49m,484,2,Delta,0.57,TRUE,1
8h45m,16h50m,485,3,Delta,0.39,TRUE,1
8h45m,16h51m,486,1,RBS1027,0.37,TRUE,1
8h45m,16h52m,487,2,RBS1027,0.45,TRUE,1
8h45m,16h53m,488,3,RBS1027,0.48,TRUE,1
8h45m,17h50m,545,1,Auto,0.32,TRUE,10
8h45m,17h53m,548,2,Auto,0.2,TRUE,10
8h45m,17h54m,549,3,Auto,0.15,TRUE,10
8h45m,17h55m,550,1,Delta,0.06,TRUE,10
8h45m,17h56m,551,2,Delta,0.12,TRUE,10
8h45m,17h57m,552,3,Delta,0.1,TRUE,10
8h45m,17h58m,553,1,RBS1027,0.07,TRUE,10
8h45m,17h59m,554,2,RBS1027,0.09,TRUE,10
8h45m,18h00m,555,3,RBS1027,0.12,TRUE,10
8h45m,18h52m,607,1,Auto,0.21,TRUE,10
8h45m,18h53m,608,2,Auto,0.19,TRUE,10
8h45m,18h55m,609,3,Auto,0.2,TRUE,10
8h45m,18h55m,610,1,Delta,0.12,TRUE,10
8h45m,18h56m,611,2,Delta,0.17,TRUE,10
8h45m,18h58m,613,3,Delta,0.21,TRUE,10
8h45m,18h59m,614,1,RBS1027,0.14,TRUE,10
8h45m,18h59m,614,2,RBS1027,0.12,TRUE,10
8h45m,19h00m,615,3,RBS1027,0.13,TRUE,10
8h45m,19h50m,665,1,Auto,0.21,TRUE,10
8h45m,19h51m,666,2,Auto,0.21,TRUE,10
8h45m,19h52m,667,3,Auto,0.19,TRUE,10
8h45m,19h53m,668,1,Delta,0.2,TRUE,10
8h45m,19h54m,669,2,Delta,0.17,TRUE,10
8h45m,19h55m,670,3,Delta,0.1,TRUE,10
8h45m,19h56m,671,1,RBS1027,0.17,TRUE,10
8h45m,19h58m,672,2,RBS1027,0.12,TRUE,10
8h45m,19h59m,673,3,RBS1027,0.12,TRUE,10
8h45m,20h47m,722,1,Auto,0.29,TRUE,10
8h45m,20h49m,724,2,Auto,0.27,TRUE,10
8h45m,20h50m,725,3,Auto,0.26,TRUE,10
8h45m,20h51m,726,1,Delta,0.23,TRUE,10
8h45m,20h52m,727,2,Delta,0.24,TRUE,10
8h45m,20h53m,728,3,Delta,0.13,TRUE,10
8h45m,20h54m,729,1,RBS1027,0.16,TRUE,10
8h45m,20h55m,730,2,RBS1027,0.13,TRUE,10
8h45m,20h56m,731,3,RBS1027,0.16,TRUE,10
