,date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
29,20160807,mrazomej,O2,-13.9,RBS446,62,10.0,6300.23883994,2912.82421429,0.150871668438
30,20160807,mrazomej,O2,-13.9,RBS1147,30,10.0,7732.46420703,4345.04958138,0.225054734361
31,20160807,mrazomej,O2,-13.9,HG104,11,10.0,14957.817163,11570.4025373,0.599296698628
32,20160807,mrazomej,O2,-13.9,auto,0,25.0,3332.7292566,0.0,0.0
33,20160807,mrazomej,O2,-13.9,delta,0,25.0,22806.362212,19473.6329554,1.0
34,20160807,mrazomej,O2,-13.9,RBS1L,870,25.0,4164.7850781,832.055821506,0.0427273032932
35,20160807,mrazomej,O2,-13.9,RBS1,610,25.0,4760.36525429,1427.63599769,0.0733112306758
36,20160807,mrazomej,O2,-13.9,RBS1027,130,25.0,9228.02044906,5895.29119246,0.302731966139
37,20160807,mrazomej,O2,-13.9,RBS446,62,25.0,12346.5684842,9013.83922761,0.462874043495
38,20160807,mrazomej,O2,-13.9,RBS1147,30,25.0,13286.1025229,9953.37326627,0.511120513006
39,20160807,mrazomej,O2,-13.9,HG104,11,25.0,22811.2309269,19478.5016703,1.00025001575
40,20160807,mrazomej,O2,-13.9,auto,0,50.0,3287.79074182,0.0,0.0
41,20160807,mrazomej,O2,-13.9,delta,0,50.0,23462.0362449,20174.2455031,1.0
42,20160807,mrazomej,O2,-13.9,RBS1L,870,50.0,6079.70562343,2791.91488161,0.13839005187
43,20160807,mrazomej,O2,-13.9,RBS1,610,50.0,7534.41725216,4246.62651034,0.210497414126
44,20160807,mrazomej,O2,-13.9,RBS1027,130,50.0,12865.940449,9578.14970716,0.474771148477
45,20160807,mrazomej,O2,-13.9,RBS446,62,50.0,14840.1113516,11552.3206098,0.572627145239
46,20160807,mrazomej,O2,-13.9,RBS1147,30,50.0,17111.9116216,13824.1208798,0.685236078725
47,20160807,mrazomej,O2,-13.9,HG104,11,50.0,23426.5662448,20138.775503,0.998241817761
48,20160807,mrazomej,O2,-13.9,auto,0,75.0,3268.56573233,0.0,0.0
49,20160807,mrazomej,O2,-13.9,delta,0,75.0,23203.6313317,19935.0655994,1.0
50,20160807,mrazomej,O2,-13.9,RBS1L,870,75.0,6747.54352636,3478.97779403,0.174515492647
51,20160807,mrazomej,O2,-13.9,RBS1,610,75.0,8937.24796709,5668.68223476,0.284357340411
52,20160807,mrazomej,O2,-13.9,RBS1027,130,75.0,16018.8151544,12750.2494221,0.639589037643
53,20160807,mrazomej,O2,-13.9,RBS446,62,75.0,18122.660339,14854.0946066,0.74512393915
54,20160807,mrazomej,O2,-13.9,RBS1147,30,75.0,18252.5425847,14983.9768524,0.751639204679
55,20160807,mrazomej,O2,-13.9,HG104,11,75.0,23645.4039537,20376.8382214,1.0221605803
56,20160807,mrazomej,O2,-13.9,auto,0,100.0,3293.98510767,0.0,0.0
57,20160807,mrazomej,O2,-13.9,delta,0,100.0,23206.339619,19912.3545113,1.0
58,20160807,mrazomej,O2,-13.9,RBS1L,870,100.0,8709.38208538,5415.3969777,0.271961659513
59,20160807,mrazomej,O2,-13.9,RBS1,610,100.0,11655.2329743,8361.24786663,0.419902521416
60,20160807,mrazomej,O2,-13.9,RBS1027,130,100.0,19150.4724126,15856.4873049,0.796314031868
61,20160807,mrazomej,O2,-13.9,RBS446,62,100.0,20171.7922588,16877.8071511,0.847604794377
62,20160807,mrazomej,O2,-13.9,RBS1147,30,100.0,21558.0812078,18264.0961001,0.917224333755
63,20160807,mrazomej,O2,-13.9,HG104,11,100.0,24235.2655426,20941.280435,1.05167274031
64,20160807,mrazomej,O2,-13.9,auto,0,250.0,3387.27068594,0.0,0.0
65,20160807,mrazomej,O2,-13.9,delta,0,250.0,24678.5570933,21291.2864074,1.0
66,20160807,mrazomej,O2,-13.9,RBS1L,870,250.0,11391.5576674,8004.28698148,0.375941914844
67,20160807,mrazomej,O2,-13.9,RBS1,610,250.0,14698.9521554,11311.6814694,0.531282199346
68,20160807,mrazomej,O2,-13.9,RBS1027,130,250.0,21458.8007494,18071.5300634,0.848775866223
69,20160807,mrazomej,O2,-13.9,RBS446,62,250.0,21767.208959,18379.938273,0.863261050618
70,20160807,mrazomej,O2,-13.9,RBS1147,30,250.0,23944.2641001,20556.9934142,0.965512041914
71,20160807,mrazomej,O2,-13.9,HG104,11,250.0,25463.0251359,22075.7544499,1.03684455827
72,20160807,mrazomej,O2,-13.9,auto,0,500.0,3401.34009015,0.0,0.0
73,20160807,mrazomej,O2,-13.9,delta,0,500.0,23947.3656401,20546.0255499,1.0
74,20160807,mrazomej,O2,-13.9,RBS1L,870,500.0,16197.5764533,12796.2363632,0.622808354448
